filename,subject,source_video,timestamp_seconds,width,height,tags
cow_001.png,cow,cow.mp4,0.00,1920,1080,"overworld, entity"
cow_002.png,cow,cow.mp4,0.00,1920,1080,"overworld, entity"
cow_003.png,cow,cow.mp4,0.00,1920,1080,"overworld, entity"
cow_004.png,cow,cow.mp4,0.00,1920,1080,"overworld, entity"
cow_005.png,cow,cow.mp4,0.00,1920,1080,"overworld, entity"
cow_006.png,cow,cow.mp4,0.00,1920,1080,"overworld, entity"
cow_007.png,cow,cow.mp4,0.00,1920,1080,"overworld, entity"
cow_008.png,cow,cow.mp4,0.00,1920,1080,"overworld, entity"
cow_009.png,cow,cow.mp4,0.00,1920,1080,"overworld, entity"
cow_010.png,cow,cow.mp4,0.00,1920,1080,"overworld, entity"
cow_011.png,cow,cow.mp4,0.00,1920,1080,"overworld, entity"
cow_012.png,cow,cow.mp4,0.00,1920,1080,"overworld, entity"
cow_013.png,cow,cow.mp4,0.00,1920,1080,"overworld, entity"
cow_014.png,cow,cow.mp4,0.00,1920,1080,"overworld, entity"
cow_015.png,cow,cow.mp4,0.00,1920,1080,"overworld, entity"
cow_016.png,cow,cow.mp4,0.00,1920,1080,"overworld, entity"
cow_017.png,cow,cow.mp4,0.00,1920,1080,"overworld, entity"
cow_018.png,cow,cow.mp4,0.00,1920,1080,"overworld, entity"
cow_019.png,cow,cow.mp4,0.00,1920,1080,"overworld, entity"
cow_020.png,cow,cow.mp4,0.00,1920,1080,"overworld, entity"
cow_021.png,cow,cow.mp4,0.00,1920,1080,"overworld, entity"
cow_022.png,cow,cow.mp4,0.00,1920,1080,"overworld, entity"
cow_023.png,cow,cow.mp4,0.00,1920,1080,"overworld, entity"
cow_024.png,cow,cow.mp4,0.00,1920,1080,"overworld, entity"
cow_025.png,cow,cow.mp4,0.00,1920,1080,"overworld, entity"
cow_026.png,cow,cow.mp4,0.00,1920,1080,"overworld, entity"
cow_027.png,cow,cow.mp4,0.00,1920,1080,"overworld, entity"
cow_028.png,cow,cow.mp4,0.00,1920,1080,"overworld, entity"
